Energía Eléctrica (categoría),Subcategoría,Potencia Nominal (MW),Potencia Nominal (%),Potencia Efectiva (MW),Potencia Efectiva (%),Producción Total (GWh),Producción Total (%),Producción SNI (GWh),Producción SNI (%),Entregada a Servicio Público (GWh),Entregada a Servicio Público (%),Mes,Año
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,41.1,0.0012,41.1,0.0014,40.93,0.0015,Noviembre,2022
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,55.99,0.0017,53.24,0.0018,55.04,0.002,Noviembre,2022
Renovable, Fotovoltaica ,28.65,0.0032,27.76,0.0034,38.18,0.0011,33.05,0.0011,37.1,0.0014,Noviembre,2022
Renovable, Biomasa ,144.3,0.0164,136.4,0.0167,372.95,0.0112,372.95,0.0127,151.19,0.0055,Noviembre,2022
Renovable, Hidráulica ,5191.3,0.5882,5151.31,0.6293,25198.64,0.7566,25187.62,0.8595,23625.06,0.8621,Noviembre,2022
No Renovable, Térmica Turbovapor ,461.63,0.0523,431.5,0.0527,1444.71,0.0434,1443.15,0.0492,1329.89,0.0485,Noviembre,2022
No Renovable, Térmica Turbogas ,943.85,0.1069,790.55,0.0966,915.82,0.0275,608.21,0.0208,590.1,0.0215,Noviembre,2022
No Renovable, Térmica MCI ,2026.12,0.2296,1620.27,0.1979,4954.76,0.1488,1281.53,0.0437,1289.92,0.0471,Noviembre,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Noviembre,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,284.67,0.0085,284.67,0.0097,284.67,0.0104,Noviembre,2022
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,41.59,0.0012,41.59,0.0014,41.48,0.0015,Diciembre,2022
Renovable, Eólica ,53.15,0.006,49.72,0.006,60.6,0.0018,57.89,0.002,59.55,0.0022,Diciembre,2022
Renovable, Fotovoltaica ,28.65,0.0032,27.76,0.0034,38.5,0.0012,33.28,0.0011,37.41,0.0014,Diciembre,2022
Renovable, Biomasa ,144.3,0.0163,136.4,0.0166,348.08,0.0104,348.08,0.0119,145.54,0.0053,Diciembre,2022
Renovable, Hidráulica ,5191.3,0.5856,5151.31,0.6267,24635.16,0.736,24624.39,0.8396,23058.85,0.8426,Diciembre,2022
No Renovable, Térmica Turbovapor ,461.63,0.0521,431.5,0.0525,1496.46,0.0447,1496.45,0.051,1382.55,0.0505,Diciembre,2022
No Renovable, Térmica Turbogas ,943.85,0.1065,790.55,0.0962,1021.54,0.0305,703.56,0.024,685.29,0.025,Diciembre,2022
No Renovable, Térmica MCI ,2033.18,0.2294,1625.11,0.1977,5366.38,0.1603,1557.76,0.0531,1489.79,0.0544,Diciembre,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Diciembre,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,465.3,0.0139,465.3,0.0159,465.3,0.017,Diciembre,2022
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,42.69,0.0013,42.69,0.0014,42.6,0.0015,Enero,2023
Renovable, Eólica ,60.6,0.0068,60.42,0.0073,66.85,0.002,64.19,0.0022,65.8,0.0024,Enero,2023
Renovable, Fotovoltaica ,28.65,0.0032,27.76,0.0034,38.74,0.0011,33.34,0.0011,37.64,0.0014,Enero,2023
Renovable, Biomasa ,144.3,0.0163,136.4,0.0166,341.35,0.0101,341.35,0.0116,144.95,0.0053,Enero,2023
Renovable, Hidráulica ,5191.3,0.5851,5151.31,0.6259,24241.48,0.7194,24231.07,0.821,22677.66,0.8227,Enero,2023
No Renovable, Térmica Turbovapor ,461.63,0.052,431.5,0.0524,1505.71,0.0447,1505.71,0.051,1391.45,0.0505,Enero,2023
No Renovable, Térmica Turbogas ,943.85,0.1064,790.55,0.0961,1169.48,0.0347,853.68,0.0289,834.94,0.0303,Enero,2023
No Renovable, Térmica MCI ,2033.18,0.2292,1625.11,0.1975,5534.37,0.1642,1683.57,0.057,1612.62,0.0585,Enero,2023
Interconexiones, Perú,110,0.1692,110,0.1732,0.78,0,0.78,0,0.78,0,Enero,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,756.14,0.0224,756.14,0.0256,756.14,0.0274,Enero,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,43.47,0.0013,43.47,0.0015,43.38,0.0016,Febrero,2023
Renovable, Eólica ,71.31,0.008,71.13,0.0086,76.89,0.0023,74.24,0.0025,75.8,0.0027,Febrero,2023
Renovable, Fotovoltaica ,28.65,0.0032,27.76,0.0034,38.78,0.0011,33.38,0.0011,37.61,0.0014,Febrero,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0166,341.35,0.0101,341.35,0.0115,144.95,0.0052,Febrero,2023
Renovable, Hidráulica ,5191.3,0.5844,5151.31,0.6251,24027.65,0.7094,24016.89,0.8093,22455.01,0.8101,Febrero,2023
No Renovable, Térmica Turbovapor ,461.63,0.052,431.5,0.0524,1473.66,0.0435,1473.65,0.0497,1363.29,0.0492,Febrero,2023
No Renovable, Térmica Turbogas ,943.85,0.1063,790.55,0.0959,1251.6,0.037,944.82,0.0318,925.75,0.0334,Febrero,2023
No Renovable, Térmica MCI ,2033.18,0.2289,1625.11,0.1972,5662.94,0.1672,1797.48,0.0606,1721.32,0.0621,Febrero,2023
Interconexiones, Perú,110,0.1692,110,0.1732,0.78,0,0.78,0,0.78,0,Febrero,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,951.21,0.0281,951.21,0.0321,951.21,0.0343,Febrero,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,43.83,0.0013,43.83,0.0015,43.69,0.0016,Marzo,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,87.35,0.0026,84.7,0.0028,86.1,0.0031,Marzo,2023
Renovable, Fotovoltaica ,28.65,0.0032,27.76,0.0034,38.94,0.0011,33.43,0.0011,37.76,0.0014,Marzo,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,341.35,0.0101,341.35,0.0115,144.95,0.0052,Marzo,2023
Renovable, Hidráulica ,5192.3,0.5843,5152.31,0.625,24083.08,0.7098,24072.1,0.8078,22523.31,0.8084,Marzo,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1414.93,0.0417,1414.93,0.0475,1311.6,0.0471,Marzo,2023
No Renovable, Térmica Turbogas ,943.85,0.1062,790.55,0.0959,1236.26,0.0364,958.24,0.0322,939.34,0.0337,Marzo,2023
No Renovable, Térmica MCI ,2035.89,0.2291,1627.16,0.1974,5715.65,0.1685,1881.52,0.0631,1806.92,0.0649,Marzo,2023
Interconexiones, Perú,110,0.1692,110,0.1732,0.78,0,0.78,0,0.78,0,Marzo,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,968.53,0.0285,968.53,0.0325,968.53,0.0348,Marzo,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,43.68,0.0013,43.68,0.0015,43.5,0.0016,Abril,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,93.49,0.0028,90.92,0.003,92.11,0.0033,Abril,2023
Renovable, Fotovoltaica ,28.65,0.0032,27.76,0.0034,39.1,0.0012,33.53,0.0011,37.88,0.0014,Abril,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,341.35,0.01,341.35,0.0114,144.95,0.0052,Abril,2023
Renovable, Hidráulica ,5192.3,0.5843,5152.31,0.6249,24217.51,0.7128,24206.62,0.8096,22674.34,0.8102,Abril,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1326.57,0.039,1326.41,0.0444,1232.76,0.044,Abril,2023
No Renovable, Térmica Turbogas ,943.85,0.1062,790.55,0.0959,1237.9,0.0364,981.94,0.0328,963.01,0.0344,Abril,2023
No Renovable, Térmica MCI ,2036.62,0.2292,1627.81,0.1974,5710.9,0.1681,1908.5,0.0638,1832.64,0.0655,Abril,2023
Interconexiones, Perú,110,0.1692,110,0.1732,0.78,0,0.78,0,0.78,0,Abril,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,965.52,0.0284,965.52,0.0323,965.52,0.0345,Abril,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,42.62,0.0012,42.62,0.0014,42.41,0.0015,Mayo,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,104.44,0.003,101.8,0.0034,102.85,0.0036,Mayo,2023
Renovable, Fotovoltaica ,28.65,0.0032,27.76,0.0034,39.39,0.0011,33.81,0.0011,38.16,0.0013,Mayo,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,341.35,0.0099,341.35,0.0113,144.95,0.0051,Mayo,2023
Renovable, Hidráulica ,5192.3,0.5843,5152.31,0.6249,24574.47,0.7151,24563.61,0.8107,23027.46,0.811,Mayo,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1301.86,0.0379,1299.31,0.0429,1209.62,0.0426,Mayo,2023
No Renovable, Térmica Turbogas ,943.85,0.1062,790.55,0.0959,1242.75,0.0362,997.96,0.0329,978.95,0.0345,Mayo,2023
No Renovable, Térmica MCI ,2036.62,0.2292,1627.81,0.1974,5750.03,0.1673,1950.83,0.0644,1879.34,0.0662,Mayo,2023
Interconexiones, Perú,110,0.1692,110,0.1732,0.78,0,0.78,0,0.78,0,Mayo,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,968.64,0.0282,968.64,0.032,968.64,0.0341,Mayo,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,42.69,0.0012,42.69,0.0014,42.45,0.0015,Junio,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,124.05,0.0036,121.48,0.0039,122.28,0.0042,Junio,2023
Renovable, Fotovoltaica ,28.85,0.0032,27.96,0.0034,39.83,0.0011,34.21,0.0011,38.6,0.0013,Junio,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,328.73,0.0094,328.73,0.0107,146.86,0.0051,Junio,2023
Renovable, Hidráulica ,5192.3,0.5843,5152.31,0.6249,25048.93,0.7175,25038.06,0.8125,23502.56,0.8115,Junio,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1309.55,0.0375,1304.76,0.0423,1216.29,0.042,Junio,2023
No Renovable, Térmica Turbogas ,943.85,0.1062,790.55,0.0959,1239.62,0.0355,1000.89,0.0325,982.06,0.0339,Junio,2023
No Renovable, Térmica MCI ,2036.62,0.2292,1627.81,0.1974,5810.26,0.1664,1976.26,0.0641,1940.46,0.067,Junio,2023
Interconexiones, Perú,110,0.1692,110,0.1732,0.78,0,0.78,0,0.78,0,Junio,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,967.84,0.0277,967.84,0.0314,967.84,0.0334,Junio,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,42.37,0.0012,42.37,0.0014,42.1,0.0014,Julio,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,144.2,0.0041,141.49,0.0045,142.3,0.0048,Julio,2023
Renovable, Fotovoltaica ,29.06,0.0033,28.17,0.0034,40.21,0.0011,34.57,0.0011,38.97,0.0013,Julio,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,277.6,0.0078,277.6,0.0089,122.07,0.0041,Julio,2023
Renovable, Hidráulica ,5192.3,0.5842,5152.31,0.6248,25528.98,0.721,25518.39,0.8152,23971.29,0.8138,Julio,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1321.7,0.0373,1314.89,0.042,1227.02,0.0417,Julio,2023
No Renovable, Térmica Turbogas ,944.85,0.1063,791.35,0.096,1232.77,0.0348,998.66,0.0319,979.86,0.0333,Julio,2023
No Renovable, Térmica MCI ,2036.62,0.2291,1627.81,0.1974,5856.59,0.1654,2010.76,0.0642,1970.18,0.0669,Julio,2023
Interconexiones, Perú,110,0.1692,110,0.1732,0.78,0,0.78,0,0.78,0,Julio,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,962.07,0.0272,962.07,0.0307,962.07,0.0327,Julio,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,42.29,0.0012,42.29,0.0013,41.98,0.0014,Agosto,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,161.29,0.0045,158.4,0.005,159.25,0.0054,Agosto,2023
Renovable, Fotovoltaica ,29.06,0.0033,28.17,0.0034,40.59,0.0011,34.89,0.0011,39.35,0.0013,Agosto,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,271.77,0.0076,271.77,0.0086,117.7,0.004,Agosto,2023
Renovable, Hidráulica ,5192.3,0.5842,5152.31,0.6248,25709.07,0.72,25698.88,0.8128,24133.78,0.8122,Agosto,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1315.05,0.0368,1306.22,0.0413,1221.13,0.0411,Agosto,2023
No Renovable, Térmica Turbogas ,944.85,0.1063,791.35,0.096,1229.37,0.0344,1000.05,0.0316,981.29,0.033,Agosto,2023
No Renovable, Térmica MCI ,2036.62,0.2291,1627.81,0.1974,5957.41,0.1668,2124.29,0.0672,2040.85,0.0687,Agosto,2023
Interconexiones, Perú,110,0.1692,110,0.1732,0.78,0,0.78,0,0.78,0,Agosto,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,978.7,0.0274,978.7,0.031,978.7,0.0329,Agosto,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,41.21,0.0011,41.21,0.0013,40.85,0.0014,Septiembre,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,178.45,0.005,175.65,0.0055,176.25,0.0059,Septiembre,2023
Renovable, Fotovoltaica ,29.06,0.0033,28.17,0.0034,40.84,0.0011,35.11,0.0011,39.6,0.0013,Septiembre,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,275.37,0.0077,275.37,0.0086,122.34,0.0041,Septiembre,2023
Renovable, Hidráulica ,5192.3,0.584,5152.31,0.6247,25477.3,0.7088,25467.37,0.7994,23896.72,0.799,Septiembre,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1332.65,0.0371,1322.28,0.0415,1237.38,0.0414,Septiembre,2023
No Renovable, Térmica Turbogas ,944.85,0.1063,791.35,0.096,1278.03,0.0356,1045.7,0.0328,1026.8,0.0343,Septiembre,2023
No Renovable, Térmica MCI ,2038.77,0.2293,1629.38,0.1976,6133.66,0.1706,2307.96,0.0724,2181.36,0.0729,Septiembre,2023
Interconexiones, Perú,110,0.1692,110,0.1732,0.78,0,0.78,0,0.78,0,Septiembre,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,1185.08,0.033,1185.08,0.0372,1185.08,0.0396,Septiembre,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,39.84,0.0011,39.84,0.0012,39.42,0.0013,Octubre,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,191.24,0.0053,188.6,0.0059,188.97,0.0063,Octubre,2023
Renovable, Fotovoltaica ,29.06,0.0033,28.17,0.0034,40.89,0.0011,35.14,0.0011,39.59,0.0013,Octubre,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,282.65,0.0078,282.65,0.0088,127.1,0.0042,Octubre,2023
Renovable, Hidráulica ,5192.3,0.5838,5152.31,0.6246,25374.65,0.7001,25364.89,0.7886,23810.82,0.7888,Octubre,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1389.54,0.0383,1377.08,0.0428,1289.35,0.0427,Octubre,2023
No Renovable, Térmica Turbogas ,944.85,0.1062,791.35,0.0959,1396.02,0.0385,1158.11,0.036,1138.23,0.0377,Octubre,2023
No Renovable, Térmica MCI ,2041.63,0.2296,1631.58,0.1978,6219.74,0.1716,2408.1,0.0749,2245.43,0.0744,Octubre,2023
Interconexiones, Perú,110,0.1692,110,0.1732,10.46,0.0003,10.46,0.0003,10.46,0.0003,Octubre,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,1297.7,0.0358,1297.7,0.0403,1297.7,0.043,Octubre,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,38.82,0.0011,38.82,0.0012,38.35,0.0013,Noviembre,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,202.32,0.0056,199.76,0.0062,200.02,0.0066,Noviembre,2023
Renovable, Fotovoltaica ,29.06,0.0033,28.17,0.0034,40.74,0.0011,34.98,0.0011,39.44,0.0013,Noviembre,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,291.27,0.008,291.27,0.009,134.92,0.0044,Noviembre,2023
Renovable, Hidráulica ,5192.3,0.5838,5152.31,0.6246,25173.93,0.6909,25164.2,0.7777,23595.15,0.7782,Noviembre,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1506.02,0.0413,1491.95,0.0461,1397.09,0.0461,Noviembre,2023
No Renovable, Térmica Turbogas ,944.85,0.1062,791.35,0.0959,1528.6,0.042,1284.73,0.0397,1263.5,0.0417,Noviembre,2023
No Renovable, Térmica MCI ,2041.63,0.2296,1631.58,0.1978,6299.6,0.1729,2495.64,0.0771,2297.54,0.0758,Noviembre,2023
Interconexiones, Perú,110,0.1692,110,0.1732,10.46,0.0003,10.46,0.0003,10.46,0.0003,Noviembre,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,1344.39,0.0369,1344.39,0.0415,1344.39,0.0443,Noviembre,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,38.33,0.001,38.33,0.0012,37.8,0.0012,Diciembre,2023
Renovable, Eólica ,71.13,0.008,71.13,0.0086,208.58,0.0057,205.99,0.0063,206.33,0.0068,Diciembre,2023
Renovable, Fotovoltaica ,29.06,0.0033,28.17,0.0034,40.57,0.0011,34.83,0.0011,39.27,0.0013,Diciembre,2023
Renovable, Biomasa ,144.3,0.0162,136.4,0.0165,318.02,0.0087,318.02,0.0098,145.36,0.0048,Diciembre,2023
Renovable, Hidráulica ,5192.3,0.5834,5152.31,0.6242,25348.71,0.691,25338.84,0.7789,23744.07,0.7785,Diciembre,2023
No Renovable, Térmica Turbovapor ,461.63,0.0519,431.5,0.0523,1572.6,0.0429,1556.48,0.0478,1457.78,0.0478,Diciembre,2023
No Renovable, Térmica Turbogas ,944.85,0.1062,791.35,0.0959,1533.74,0.0418,1246.1,0.0383,1244.51,0.0408,Diciembre,2023
No Renovable, Térmica MCI ,2048,0.2301,1636.39,0.1982,6301.47,0.1718,2470,0.0759,2302.04,0.0755,Diciembre,2023
Interconexiones, Perú,110,0.1692,110,0.1732,24.37,0.0007,24.37,0.0007,24.37,0.0008,Diciembre,2023
Interconexiones, Colombia ,540,0.8308,525,0.8268,1296.58,0.0353,1296.58,0.0399,1296.58,0.0425,Diciembre,2023
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,37.75,0.001,37.75,0.0012,37.17,0.0012,Enero,2024
Renovable, Eólica ,71.13,0.0079,71.13,0.0086,213.97,0.0058,211.37,0.0065,211.69,0.0069,Enero,2024
Renovable, Fotovoltaica ,29.06,0.0032,28.17,0.0034,40.35,0.0011,34.7,0.0011,39.06,0.0013,Enero,2024
Renovable, Biomasa ,144.3,0.0161,136.4,0.0164,321.02,0.0087,321.02,0.0098,146.06,0.0048,Enero,2024
Renovable, Hidráulica ,5198.8,0.5804,5158.81,0.6211,25912.45,0.705,25901.88,0.7925,24283.45,0.7926,Enero,2024
No Renovable, Térmica Turbovapor ,461.63,0.0515,431.5,0.052,1632.26,0.0444,1616.14,0.0494,1512.36,0.0494,Enero,2024
No Renovable, Térmica Turbogas ,944.85,0.1055,791.35,0.0953,1396.02,0.038,1130.68,0.0346,1129.88,0.0369,Enero,2024
No Renovable, Térmica MCI ,2099.91,0.2344,1681.12,0.2024,6134.09,0.1669,2365.69,0.0724,2212.03,0.0722,Enero,2024
Interconexiones, Perú,110,0.1692,110,0.1732,27.08,0.0007,27.08,0.0008,27.08,0.0009,Enero,2024
Interconexiones, Colombia ,540,0.8308,525,0.8268,1039.39,0.0283,1039.39,0.0318,1039.39,0.0339,Enero,2024
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,37.35,0.001,37.35,0.0011,36.73,0.0012,Febrero,2024
Renovable, Eólica ,71.13,0.0079,71.13,0.0086,216.99,0.0059,214.38,0.0065,214.71,0.007,Febrero,2024
Renovable, Fotovoltaica ,29.06,0.0032,28.17,0.0034,40.59,0.0011,34.94,0.0011,39.36,0.0013,Febrero,2024
Renovable, Biomasa ,144.3,0.0161,136.4,0.0164,321.42,0.0087,321.42,0.0098,146.29,0.0047,Febrero,2024
Renovable, Hidráulica ,5198.8,0.5801,5158.81,0.6209,26489.72,0.7152,26478.42,0.8039,24845.82,0.8044,Febrero,2024
No Renovable, Térmica Turbovapor ,461.63,0.0515,431.5,0.0519,1659.71,0.0448,1641.46,0.0498,1534.3,0.0497,Febrero,2024
No Renovable, Térmica Turbogas ,944.85,0.1054,791.35,0.0952,1350.89,0.0365,1073.88,0.0326,1073.54,0.0348,Febrero,2024
No Renovable, Térmica MCI ,2103.66,0.2347,1684.42,0.2027,6046.98,0.1633,2263.78,0.0687,2123.66,0.0688,Febrero,2024
Interconexiones, Perú,110,0.1692,110,0.1732,27.08,0.0007,27.08,0.0008,27.08,0.0009,Febrero,2024
Interconexiones, Colombia ,540,0.8308,525,0.8268,845.98,0.0228,845.98,0.0257,845.98,0.0274,Febrero,2024
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,37.35,0.001,37.35,0.0011,36.87,0.0012,Marzo,2024
Renovable, Eólica ,71.13,0.0079,71.13,0.0086,219.75,0.0059,217.16,0.0066,217.56,0.007,Marzo,2024
Renovable, Fotovoltaica ,29.06,0.0032,28.17,0.0034,40.56,0.0011,34.99,0.0011,39.32,0.0013,Marzo,2024
Renovable, Biomasa ,144.3,0.0161,136.4,0.0164,321.42,0.0086,321.42,0.0097,146.29,0.0047,Marzo,2024
Renovable, Hidráulica ,5198.8,0.5801,5158.81,0.6209,26321.76,0.706,26309.7,0.7938,24660.54,0.7946,Marzo,2024
No Renovable, Térmica Turbovapor ,461.63,0.0515,431.5,0.0519,1746.72,0.0469,1726.08,0.0521,1613.08,0.052,Marzo,2024
No Renovable, Térmica Turbogas ,944.85,0.1054,791.35,0.0952,1395.53,0.0374,1107.52,0.0334,1087.83,0.0351,Marzo,2024
No Renovable, Térmica MCI ,2103.66,0.2347,1684.42,0.2027,6215.63,0.1667,2404.61,0.0726,2249.68,0.0725,Marzo,2024
Interconexiones, Perú,110,0.1692,110,0.1732,27.08,0.0007,27.08,0.0008,27.08,0.0009,Marzo,2024
Interconexiones, Colombia ,540,0.8308,525,0.8268,957.14,0.0257,957.14,0.0289,957.14,0.0308,Marzo,2024
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,37.85,0.001,37.85,0.0011,37.48,0.0012,Abril,2024
Renovable, Eólica ,71.13,0.0079,71.13,0.0086,221.97,0.0059,219.41,0.0066,219.91,0.0071,Abril,2024
Renovable, Fotovoltaica ,29.06,0.0032,28.17,0.0034,40.37,0.0011,34.75,0.001,39.15,0.0013,Abril,2024
Renovable, Biomasa ,144.3,0.0161,136.4,0.0164,321.42,0.0086,321.42,0.0097,146.29,0.0047,Abril,2024
Renovable, Hidráulica ,5199.8,0.5802,5159.81,0.6209,25987.84,0.6948,25975.22,0.7817,24311.64,0.7816,Abril,2024
No Renovable, Térmica Turbovapor ,461.63,0.0515,431.5,0.0519,1862.5,0.0498,1839.95,0.0554,1718.61,0.0553,Abril,2024
No Renovable, Térmica Turbogas ,944.85,0.1054,791.35,0.0952,1456.6,0.0389,1157.04,0.0348,1137.41,0.0366,Abril,2024
No Renovable, Térmica MCI ,2103.66,0.2347,1684.42,0.2027,6453.47,0.1725,2621.72,0.0789,2472.68,0.0795,Abril,2024
Interconexiones, Perú,110,0.1692,110,0.1732,27.08,0.0007,27.08,0.0008,27.08,0.0009,Abril,2024
Interconexiones, Colombia ,540,0.8308,525,0.8268,993.73,0.0266,993.73,0.0299,993.73,0.0319,Abril,2024
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,38.22,0.001,38.22,0.0012,38,0.0012,Mayo,2024
Renovable, Eólica ,71.13,0.0079,71.13,0.0085,219.52,0.0059,217.17,0.0065,217.5,0.007,Mayo,2024
Renovable, Fotovoltaica ,29.13,0.0032,28.24,0.0034,40.05,0.0011,34.39,0.001,38.83,0.0013,Mayo,2024
Renovable, Biomasa ,155.3,0.0173,147.8,0.0177,321.42,0.0086,321.42,0.0097,146.29,0.0047,Mayo,2024
Renovable, Hidráulica ,5215.17,0.5801,5174.94,0.6209,25598.71,0.6848,25585.1,0.771,23918.72,0.7701,Mayo,2024
No Renovable, Térmica Turbovapor ,461.63,0.0514,431.5,0.0518,1979.41,0.053,1958.47,0.059,1832.77,0.059,Mayo,2024
No Renovable, Térmica Turbogas ,944.75,0.1051,791.35,0.0949,1492.26,0.0399,1179.44,0.0355,1159.99,0.0373,Mayo,2024
No Renovable, Térmica MCI ,2104.05,0.2341,1682.51,0.2019,6627.87,0.1773,2788.5,0.084,2643.7,0.0851,Mayo,2024
Interconexiones, Perú,110,0.1692,110,0.1732,27.08,0.0007,27.08,0.0008,27.08,0.0009,Mayo,2024
Interconexiones, Colombia ,540,0.8308,525,0.8268,1035.5,0.0277,1035.5,0.0312,1035.5,0.0333,Mayo,2024
Renovable,Hidráulica,5215.17,0.5801,5209.11,0.6924,25380.11,0.6808,25365.47,0.7666,23687.44,0.7665,Junio,2024
Renovable,Eólica,71.13,0.0079,66.48,0.0088,211.37,0.0057,209.09,0.0063,209.39,0.0068,Junio,2024
Renovable,Fotovoltaica,29.13,0.0032,24.46,0.0033,39.79,0.0011,34.13,0.001,38.56,0.0012,Junio,2024
Renovable,Biomasa,155.3,0.0173,155.3,0.0206,371.78,0.01,371.78,0.0112,173.85,0.0056,Junio,2024
Renovable,Biogas,8.32,0.0009,8.32,0.0011,38.4,0.001,38.4,0.0012,38.18,0.0012,Junio,2024
No Renovable,Térmica MCI ,2105.23,0.2342,793.83,0.1055,6658.45,0.1786,2824.69,0.0854,2657.09,0.086,Junio,2024
No Renovable,Térmica Turbogas ,944.75,0.1051,819.8,0.109,1494.53,0.0401,1177.45,0.0356,1157.99,0.0375,Junio,2024
No Renovable,Térmica Turbovapor ,461.63,0.0513,446,0.0593,2008.53,0.0539,1989.81,0.0601,1860.95,0.0602,Junio,2024
Interconexiones,Colombia,540,0.8308,540,0.8308,1051.93,0.0282,1051.93,0.0318,1051.93,0.034,Junio,2024
Interconexiones,Perú,110,0.1692,110,0.1692,27.08,0.0007,27.08,0.0008,27.08,0.0009,Junio,2024
Renovable,Hidráulica,5215.17,0.58,5209.11,0.6924,24914.62,0.6709,24899.2,0.7557,23213.25,0.7555,Julio,2024
Renovable,Eólica,71.13,0.0079,66.48,0.0088,219.32,0.0059,217.2,0.0066,217.33,0.0071,Julio,2024
Renovable,Fotovoltaica,28.13,0.0031,24.46,0.0033,39.81,0.0011,34.16,0.001,38.59,0.0013,Julio,2024
Renovable,Biomasa,155.3,0.0173,155.3,0.0206,436.12,0.0117,436.12,0.0132,208.9,0.0068,Julio,2024
Renovable,Biogas,8.32,0.0009,8.32,0.0011,38.4,0.001,38.4,0.0012,38.18,0.0012,Julio,2024
No Renovable,Térmica MCI ,2119.42,0.2357,815.83,0.1084,6784.61,0.1827,2961.13,0.0899,2797.56,0.0911,Julio,2024
No Renovable,Térmica Turbogas ,905.35,0.1007,797.8,0.106,1509.65,0.0407,1186.23,0.036,1166.93,0.038,Julio,2024
No Renovable,Térmica Turbovapor ,488.53,0.0543,446,0.0593,2063.67,0.0556,2046.98,0.0621,1914.54,0.0623,Julio,2024
Interconexiones,Colombia,540,0.8308,540,0.8308,1102.59,0.0297,1102.59,0.0335,1102.59,0.0359,Julio,2024
